CS,422,Software Method I,4.00 cr.,31339,3,33,1000-1120,tr,41 LIB,Hornof A,!MA9
CS,425,Princ of Program Lang,4.00 cr.,31340,9,83,0830-0950,mw,SYNC WEB,Antoy S,!MA
CS,425,+ Dis,0.00 cr.,31341,9,83,0900-0950,f,128 CHI,Yapucuoglu M,
CS,434,Comp & Net Security II,4.00 cr.,36037,5,15,1400-1520,tr,103 GSH,Carrere D,!M
CS,436,Sec Soft Development,4.00 cr.,36015,15,30,0830-0950,tr,255 LIL,Li J,!
CS,451,Data-Base Processing,4.00 cr.,36016,25,60,1600-1720,wf,128 CHI,Wilson C,!
CS,461,Intro to Compilers,4.00 cr.,36018,3,10,0830-0950,wf,348 MCK,Young M,!
CS,472,Machine Learning,4.00 cr.,31343,9,45,1400-1520,mw,302 GER,Nguyen T,!M8
CS,503,Thesis,1.00-16.00 cr.,31344,12,14,tba,tba,tba,STAFF,Approval Required
CS,507,Sem Career/Internships,2.00 cr.,31345,10,15,1530-1650,m,220 DES,Wills E,8
CS,510,Game Programming,4.00 cr.,31347,2,5,1200-1320,mw,240A MCK,Wills E,9
CS,510,Nat Lang Processing,4.00 cr.,36242,3,10,1000-1120,mw,303 GER,Nguyen T,
CS,522,Software Method I,4.00 cr.,31350,1,2,1000-1120,tr,41 LIB,Hornof A,9
CS,534,Comp & Net Security II,4.00 cr.,36038,4,8,1400-1520,tr,103 GSH,Carrere D,!
CS,536,Sec Soft Development,4.00 cr.,36094,8,10,0830-0950,tr,255 LIL,Li J,
CS,551,Data-Base Processing,4.00 cr.,36017,11,20,1600-1720,wf,128 CHI,Wilson C,
CS,561,Intro to Compilers,4.00 cr.,36019,8,10,0830-0950,wf,348 MCK,Young M,!
CS,572,Machine Learning,4.00 cr.,31352,3,13,1400-1520,mw,302 GER,Nguyen T,8
CS,601,Research,1.00-16.00 cr.,31353,23,50,tba,tba,tba,STAFF,Approval Required
CS,603,Dissertation,1.00-16.00 cr.,31354,3,15,tba,tba,tba,STAFF,Approval Required
CS,604,Internship,1.00-4.00 cr.,31355,9,10,tba,tba,tba,STAFF,Approval Required
CS,605,Reading,1.00-16.00 cr.,31356,29,30,tba,tba,tba,STAFF,Approval Required
CS,607,Sem Curr/Futr Int Tech,2.00 cr.,31358,1,15,1000-1120,r,200 DES,Durairajan R,8
CS,607,Sem High-Perf TD & DA,2.00 cr.,31360,11,15,1400-1520,m,200 DES,Choi J,
CS,607,Sem Par Monitoring,2.00 cr.,31361,10,15,1600-1720,w,200 DES,Malony A,
CS,609,Terminal Project,1.00-16.00 cr.,31362,9,10,tba,tba,tba,STAFF,Approval Required
CS,630,Distributed Systems,4.00 cr.,31363,13,20,1400-1520,tr,200 DES,Li J,!8
CS,670,Data Science,4.00 cr.,35844,9,30,1600-1720,tr,103 PETR,Lowd D,!
CIT,281,Web Applicat Dev I,4.00 cr.,31169,45,75,1600-1720,tr,240C MCK,Colbert P,!8
CIT,281,+ Lab,0.00 cr.,31170,20,25,1000-1050,f,B026 KLA,Timalsina A,
CIT,281,+ Lab,0.00 cr.,31171,5,25,1100-1150,f,B026 KLA,Timalsina A,
CIT,281,+ Lab,0.00 cr.,31172,20,25,1500-1550,f,B026 KLA,Timalsina A,
CIT,383,Networkng Fundamentals,4.00 cr.,31173,34,75,1400-1520,tr,240C MCK,Colbert P,!8
CIT,383,+ Lab,0.00 cr.,31174,10,25,1600-1650,t,B026 KLA,Schwartz S,
CIT,383,+ Lab,0.00 cr.,31175,16,25,1600-1650,w,B026 KLA,Schwartz S,
CIT,383,+ Lab,0.00 cr.,31176,8,25,1600-1650,r,B026 KLA,Schwartz S,
CIT,405,Reading,1.00-4.00 cr.,31177,10,10,tba,tba,tba,STAFF,Approval Required
